#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,-1.1372e-02,1.3233e+00,9.8722e-01
1.0000e-01,-2.2745e-02,1.3215e+00,9.8593e-01
1.5000e-01,-3.4117e-02,1.3186e+00,9.8378e-01
2.0000e-01,-4.5489e-02,1.3145e+00,9.8080e-01
2.5000e-01,-5.6862e-02,1.3093e+00,9.7700e-01
3.0000e-01,-6.8234e-02,1.3030e+00,9.7240e-01
3.5000e-01,-7.9606e-02,1.2957e+00,9.6704e-01
4.0000e-01,-9.0979e-02,1.2874e+00,9.6094e-01
4.5000e-01,-1.0235e-01,1.2782e+00,9.5413e-01
5.0000e-01,-1.1372e-01,1.2681e+00,9.4667e-01
5.5000e-01,-1.2510e-01,1.2573e+00,9.3858e-01
6.0000e-01,-1.3161e-01,1.2458e+00,9.2991e-01
6.5000e-01,-1.2498e-01,1.2336e+00,9.2071e-01
7.0000e-01,-1.1815e-01,1.2208e+00,9.1101e-01
7.5000e-01,-1.0497e-01,1.2075e+00,9.0087e-01
8.0000e-01,-8.5678e-02,1.1938e+00,8.9032e-01
8.5000e-01,-5.9720e-02,1.1797e+00,8.7941e-01
9.0000e-01,-3.2916e-02,1.1652e+00,8.6818e-01
9.5000e-01,-2.0341e-02,1.1504e+00,8.5667e-01
1.0000e+00,3.0942e-04,1.1354e+00,8.4492e-01
1.0500e+00,2.5518e-02,1.1202e+00,8.3297e-01
1.1000e+00,5.5681e-02,1.1049e+00,8.2086e-01
1.1500e+00,9.6441e-02,1.0894e+00,8.0861e-01
1.2000e+00,1.4811e-01,1.0739e+00,7.9626e-01
1.2500e+00,2.1311e-01,1.0584e+00,7.8384e-01
1.3000e+00,2.8956e-01,1.0428e+00,7.7137e-01
1.3500e+00,3.7913e-01,1.0272e+00,7.5889e-01
1.4000e+00,4.8395e-01,1.0117e+00,7.4641e-01
1.4500e+00,6.0318e-01,9.9625e-01,7.3396e-01
1.5000e+00,7.3006e-01,9.8087e-01,7.2155e-01
1.5500e+00,8.5178e-01,9.6559e-01,7.0920e-01
1.6000e+00,9.6069e-01,9.5043e-01,6.9694e-01
1.6500e+00,1.0558e+00,9.3539e-01,6.8477e-01
1.7000e+00,1.1335e+00,9.2049e-01,6.7270e-01
1.7500e+00,1.1929e+00,9.0575e-01,6.6075e-01
1.8000e+00,1.2286e+00,8.9118e-01,6.4893e-01
1.8500e+00,1.2468e+00,8.7677e-01,6.3725e-01
1.9000e+00,1.2448e+00,8.6255e-01,6.2571e-01
1.9500e+00,1.2338e+00,8.4851e-01,6.1432e-01
2.0000e+00,1.2184e+00,8.3467e-01,6.0309e-01
2.0500e+00,1.1420e+00,8.2103e-01,5.9203e-01
2.1000e+00,1.0594e+00,8.0760e-01,5.8112e-01
2.1500e+00,9.6671e-01,7.9437e-01,5.7039e-01
2.2000e+00,8.8318e-01,7.8136e-01,5.5983e-01
2.2500e+00,7.9391e-01,7.6856e-01,5.4945e-01
2.3000e+00,7.1870e-01,7.5598e-01,5.3924e-01
2.3500e+00,6.5758e-01,7.4362e-01,5.2921e-01
2.4000e+00,6.0676e-01,7.3147e-01,5.1935e-01
2.4500e+00,5.6578e-01,7.1954e-01,5.0968e-01
2.5000e+00,5.3367e-01,7.0784e-01,5.0018e-01
2.5500e+00,5.0621e-01,6.9635e-01,4.9086e-01
2.6000e+00,4.8720e-01,6.8508e-01,4.8172e-01
2.6500e+00,4.7453e-01,6.7403e-01,4.7275e-01
2.7000e+00,4.6494e-01,6.6319e-01,4.6396e-01
2.7500e+00,4.5897e-01,6.5256e-01,4.5534e-01
2.8000e+00,4.5418e-01,6.4215e-01,4.4690e-01
2.8500e+00,4.4986e-01,6.3194e-01,4.3862e-01
2.9000e+00,4.4553e-01,6.2194e-01,4.3051e-01
2.9500e+00,4.4237e-01,6.1215e-01,4.2257e-01
3.0000e+00,4.4032e-01,6.0255e-01,4.1479e-01
3.0500e+00,4.3971e-01,5.9316e-01,4.0717e-01
3.1000e+00,4.4057e-01,5.8395e-01,3.9971e-01
3.1500e+00,4.4324e-01,5.7494e-01,3.9241e-01
3.2000e+00,4.4751e-01,5.6611e-01,3.8526e-01
3.2500e+00,4.5284e-01,5.5747e-01,3.7826e-01
3.3000e+00,4.6030e-01,5.4900e-01,3.7141e-01
3.3500e+00,4.6821e-01,5.4071e-01,3.6470e-01
3.4000e+00,4.7246e-01,5.3260e-01,3.5814e-01
3.4500e+00,4.7695e-01,5.2465e-01,3.5172e-01
3.5000e+00,4.8464e-01,5.1686e-01,3.4543e-01
3.5500e+00,4.8919e-01,5.0924e-01,3.3928e-01
3.6000e+00,4.8855e-01,5.0177e-01,3.3326e-01
3.6500e+00,4.9072e-01,4.9445e-01,3.2736e-01
3.7000e+00,4.9103e-01,4.8727e-01,3.2160e-01
3.7500e+00,4.8872e-01,4.8025e-01,3.1595e-01
3.8000e+00,4.8530e-01,4.7336e-01,3.1043e-01
3.8500e+00,4.8266e-01,4.6661e-01,3.0502e-01
3.9000e+00,4.7821e-01,4.5999e-01,2.9973e-01
3.9500e+00,4.7391e-01,4.5350e-01,2.9455e-01
4.0000e+00,4.7064e-01,4.4713e-01,2.8948e-01
4.0500e+00,4.6791e-01,4.4089e-01,2.8452e-01
4.1000e+00,4.6463e-01,4.3476e-01,2.7966e-01
4.1500e+00,4.5966e-01,4.2874e-01,2.7490e-01
4.2000e+00,4.5651e-01,4.2284e-01,2.7024e-01
4.2500e+00,4.5490e-01,4.1705e-01,2.6568e-01
4.3000e+00,4.5455e-01,4.1136e-01,2.6122e-01
4.3500e+00,4.5529e-01,4.0577e-01,2.5684e-01
